[ 2025-12-27 10:54:43,138 ] 19 root - INFO - Initiate the data ingestion
[ 2025-12-27 10:54:46,628 ] 68 root - INFO - Peformed train test split on the dataframe
[ 2025-12-27 10:54:46,628 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Igestion class
[ 2025-12-27 10:54:46,628 ] 74 root - INFO - Exporting train and test file path.
[ 2025-12-27 10:54:46,692 ] 78 root - INFO - Exported train and test file path.
[ 2025-12-27 10:54:46,692 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-27 10:54:46,700 ] 26 root - INFO - Initiate the data validation
[ 2025-12-27 10:54:46,745 ] 43 root - INFO - Required number of columns:2
[ 2025-12-27 10:54:46,746 ] 45 root - INFO - Data frame has columns:31
[ 2025-12-27 10:54:46,747 ] 43 root - INFO - Required number of columns:2
[ 2025-12-27 10:54:46,747 ] 45 root - INFO - Data frame has columns:31
[ 2025-12-27 10:54:46,906 ] 29 root - INFO - Data Validation Completed
[ 2025-12-27 10:54:46,906 ] 33 root - INFO - Data Transformation Started
[ 2025-12-27 10:54:46,906 ] 70 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-27 10:54:46,906 ] 72 root - INFO - Starting data transformation
[ 2025-12-27 10:54:46,947 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-27 10:54:46,947 ] 57 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-27 10:54:46,969 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 10:54:46,974 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 10:54:46,974 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-27 10:54:46,980 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-27 10:54:46,982 ] 37 root - INFO - Data Transformation Completed
