[ 2026-01-03 10:58:12,474 ] 24 root - INFO - Initiate the data ingestion
[ 2026-01-03 10:58:16,392 ] 68 root - INFO - Peformed train test split on the dataframe
[ 2026-01-03 10:58:16,393 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Igestion class
[ 2026-01-03 10:58:16,393 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 10:58:16,457 ] 78 root - INFO - Exported train and test file path.
[ 2026-01-03 10:58:16,458 ] 26 root - INFO - Data Initiation Completed
[ 2026-01-03 10:58:16,466 ] 31 root - INFO - Initiate the data validation
[ 2026-01-03 10:58:16,517 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 10:58:16,518 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 10:58:16,518 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 10:58:16,518 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 10:58:16,734 ] 33 root - INFO - Data Validation Completed
[ 2026-01-03 10:58:16,734 ] 37 root - INFO - Data Transformation Started
[ 2026-01-03 10:58:16,734 ] 70 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 10:58:16,734 ] 72 root - INFO - Starting data transformation
[ 2026-01-03 10:58:16,771 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 10:58:16,772 ] 57 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 10:58:16,790 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 10:58:16,796 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 10:58:16,796 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 10:58:16,799 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 10:58:16,802 ] 41 root - INFO - Data Transformation Completed
[ 2026-01-03 10:58:16,802 ] 43 root - INFO - Model Training sstared
[ 2026-01-03 11:03:06,423 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 11:03:06,424 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 11:03:06,425 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 11:03:06,447 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 11:03:06,447 ] 139 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_03_2026_10_58_09\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910093992644053, precision_score=0.9887869520897044, recall_score=0.9932418595125947), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910093992644053, precision_score=0.9887869520897044, recall_score=0.9932418595125947))
[ 2026-01-03 11:03:06,451 ] 48 root - INFO - Model Training artifact created
