[ 2026-01-03 03:50:53,616 ] 23 root - INFO - Initiate the data ingestion
[ 2026-01-03 03:50:58,879 ] 68 root - INFO - Peformed train test split on the dataframe
[ 2026-01-03 03:50:58,879 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Igestion class
[ 2026-01-03 03:50:58,879 ] 74 root - INFO - Exporting train and test file path.
[ 2026-01-03 03:50:58,940 ] 78 root - INFO - Exported train and test file path.
[ 2026-01-03 03:50:58,941 ] 26 root - INFO - Data Initiation Completed
[ 2026-01-03 03:50:58,959 ] 30 root - INFO - Initiate the data validation
[ 2026-01-03 03:50:59,002 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 03:50:59,003 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 03:50:59,003 ] 43 root - INFO - Required number of columns:2
[ 2026-01-03 03:50:59,003 ] 45 root - INFO - Data frame has columns:31
[ 2026-01-03 03:50:59,162 ] 33 root - INFO - Data Validation Completed
[ 2026-01-03 03:50:59,163 ] 37 root - INFO - Data Transformation Started
[ 2026-01-03 03:50:59,163 ] 70 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-03 03:50:59,163 ] 72 root - INFO - Starting data transformation
[ 2026-01-03 03:50:59,202 ] 51 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-03 03:50:59,202 ] 57 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-03 03:50:59,218 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 03:50:59,221 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 03:50:59,221 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 03:50:59,224 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 03:50:59,225 ] 41 root - INFO - Data Transformation Completed
[ 2026-01-03 03:50:59,225 ] 43 root - INFO - Model Training sstared
[ 2026-01-03 03:54:45,222 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-03 03:54:45,222 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-03 03:54:45,222 ] 130 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_03_2026_03_50_42\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.99128651973347, precision_score=0.9922019289965114, recall_score=0.9903727980335928), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.99128651973347, precision_score=0.9922019289965114, recall_score=0.9903727980335928))
[ 2026-01-03 03:54:45,223 ] 48 root - INFO - Model Training artifact created
